Test Case,Response Code,Latency (seconds)
0,200,1.5756497383117676
1,200,0.4218130111694336
2,200,0.4875168800354004
3,200,0.4105079174041748
0,200,0.5972800254821777
1,200,0.38462209701538086
2,200,0.3631880283355713
3,200,0.21970105171203613
0,200,0.41294264793395996
1,200,0.3201000690460205
2,200,0.36448168754577637
3,200,0.4210851192474365
0,200,0.6104967594146729
1,200,0.8218460083007812
2,200,2.2360639572143555
3,200,1.7629258632659912
0,200,0.712827205657959
1,200,0.5015990734100342
2,200,0.5756821632385254
3,200,1.0513052940368652
0,200,0.8150928020477295
1,200,1.1791279315948486
2,200,0.35987091064453125
3,200,0.8140919208526611
0,200,0.7159559726715088
1,200,0.6486601829528809
2,200,0.3781137466430664
3,200,0.2220909595489502
0,200,0.1880028247833252
1,200,0.3395981788635254
2,200,0.18529510498046875
3,200,0.30785036087036133
0,200,0.22463583946228027
1,200,0.3151109218597412
2,200,0.21737384796142578
3,200,0.24380111694335938
0,200,0.2713310718536377
1,200,0.2786831855773926
2,200,0.18942904472351074
3,200,0.17581629753112793
0,200,0.23217201232910156
1,200,0.19666504859924316
2,200,0.21773910522460938
3,200,0.19162297248840332
0,200,0.26909589767456055
1,200,0.21105504035949707
2,200,0.2503039836883545
3,200,0.25586485862731934
0,200,0.2634422779083252
1,200,0.2698209285736084
2,200,0.3585970401763916
3,200,0.35192322731018066
0,200,0.44583606719970703
1,200,0.39189910888671875
2,200,1.6503801345825195
3,200,1.396190881729126
0,200,0.6946041584014893
1,200,0.7760231494903564
2,200,0.34855079650878906
3,200,0.8470361232757568
0,200,0.6722128391265869
1,200,0.4906728267669678
2,200,0.3572368621826172
3,200,1.1416809558868408
0,200,0.29200100898742676
1,200,0.4517860412597656
2,200,0.6167140007019043
3,200,0.8247711658477783
0,200,0.5340361595153809
1,200,0.2476968765258789
2,200,0.25226497650146484
3,200,0.32613492012023926
0,200,0.385936975479126
1,200,0.42050695419311523
2,200,0.4088129997253418
3,200,0.3824169635772705
0,200,0.5403361320495605
1,200,0.4614248275756836
2,200,0.5338029861450195
3,200,0.6222810745239258
0,200,0.7937593460083008
1,200,0.3345983028411865
2,200,0.3345611095428467
3,200,0.4290649890899658
0,200,0.4411168098449707
1,200,0.39709901809692383
2,200,0.3509368896484375
3,200,0.3266720771789551
0,200,0.3198552131652832
1,200,0.412600040435791
2,200,0.3160569667816162
3,200,0.3332538604736328
0,200,0.25327420234680176
1,200,0.2010648250579834
2,200,0.20100116729736328
3,200,0.24971890449523926
0,200,0.23767924308776855
1,200,0.2537858486175537
2,200,0.2760782241821289
3,200,0.2629392147064209
0,200,0.30862998962402344
1,200,0.27360987663269043
2,200,0.24670004844665527
3,200,0.24523091316223145
0,200,0.29663801193237305
1,200,0.23174309730529785
2,200,0.1746540069580078
3,200,0.30863022804260254
0,200,0.3708209991455078
1,200,0.6790428161621094
2,200,0.808499813079834
3,200,0.8252089023590088
0,200,0.7891108989715576
1,200,0.4225502014160156
2,200,0.48967885971069336
3,200,0.33011293411254883
0,200,0.3020899295806885
1,200,0.4473881721496582
2,200,0.2695298194885254
3,200,0.22301006317138672
0,200,0.3225719928741455
1,200,0.35409092903137207
2,200,0.27893996238708496
3,200,0.2742023468017578
0,200,0.2593538761138916
1,200,0.20460796356201172
2,200,0.165971040725708
3,200,0.15422582626342773
0,200,0.21482014656066895
1,200,0.2224898338317871
2,200,0.22800707817077637
3,200,0.1596839427947998
0,200,0.23267197608947754
1,200,0.14374017715454102
2,200,0.164931058883667
3,200,0.1759331226348877
0,200,0.17406702041625977
1,200,0.1896069049835205
2,200,0.19785118103027344
3,200,0.2206883430480957
0,200,0.20851778984069824
1,200,0.29105520248413086
2,200,0.19972586631774902
3,200,0.2144787311553955
0,200,0.2543058395385742
1,200,0.18098998069763184
2,200,0.18802380561828613
3,200,0.24249005317687988
0,200,0.21001195907592773
1,200,0.15866613388061523
2,200,0.22812700271606445
3,200,0.15839099884033203
0,200,0.17121601104736328
1,200,0.18517613410949707
2,200,0.14254522323608398
3,200,0.17117881774902344
0,200,0.14579105377197266
1,200,0.19681715965270996
2,200,0.2831919193267822
3,200,0.2490077018737793
0,200,0.5342469215393066
1,200,0.26212191581726074
2,200,0.3399500846862793
3,200,0.5053567886352539
0,200,0.38855719566345215
1,200,0.36230921745300293
2,200,0.34282708168029785
3,200,0.7050440311431885
